Tanggal Kurs;Kurs
31/01/2017;3.60E-07
01/02/2017;2.02E-07
02/02/2017;3.50E-06
03/02/2017;8.06E-07
06/02/2017;6.11E-06
07/02/2017;2.76E-07
08/02/2017;1.27E-06
09/02/2017;4.74E-06
10/02/2017;5.64E-07
13/02/2017;8.11E-07
14/02/2017;0
16/02/2017;5.63E-09
17/02/2017;5.63E-09
20/02/2017;3.24E-06
21/02/2017;1.81E-06
22/02/2017;1.10E-06
23/02/2017;8.97E-08
24/02/2017;3.23E-06
27/02/2017;5.06E-08
28/02/2017;3.59E-07
01/03/2017;1.10E-06
02/03/2017;0
03/03/2017;1.10E-06
06/03/2017;6.77E-07
07/03/2017;1.10E-06
08/03/2017;5.62E-07
09/03/2017;6.10E-06
10/03/2017;2.23E-06
13/03/2017;4.70E-06
14/03/2017;8.96E-08
15/03/2017;1.26E-06
16/03/2017;8.53E-06
17/03/2017;2.02E-07
20/03/2017;9.50E-07
21/03/2017;2.49E-06
22/03/2017;4.11E-06
23/03/2017;5.06E-08
24/03/2017;5.06E-08
27/03/2017;1.27E-06
29/03/2017;4.57E-07
30/03/2017;2.76E-07
31/03/2017;1.41E-07
03/04/2017;5.07E-08
04/04/2017;2.25E-08
05/04/2017;5.07E-08
06/04/2017;2.25E-08
07/04/2017;1.10E-06
10/04/2017;1.82E-06
11/04/2017;9.50E-06
12/04/2017;1.45E-06
13/04/2017;6.55E-06
17/04/2017;4.61E-07
18/04/2017;1.10E-05
19/04/2017;0
20/04/2017;4.74E-06
21/04/2017;3.61E-07
25/04/2017;3.25E-06
26/04/2017;1.84E-06
27/04/2017;2.50E-06
28/04/2017;4.42E-06
02/05/2017;6.82E-07
03/05/2017;2.04E-06
04/05/2017;6.14E-06
05/05/2017;4.56E-07
08/05/2017;1.27E-06
09/05/2017;2.76E-07
10/05/2017;8.12E-06
12/05/2017;1.26E-06
15/05/2017;2.48E-06
16/05/2017;2.49E-06
17/05/2017;3.62E-07
18/05/2017;7.71E-06
19/05/2017;2.51E-05
22/05/2017;7.16E-05
23/05/2017;5.66E-09
24/05/2017;2.26E-06
26/05/2017;2.49E-06
29/05/2017;1.63E-06
30/05/2017;3.24E-06
31/05/2017;1.27E-06
02/06/2017;5.64E-07
05/06/2017;3.26E-06
06/06/2017;2.27E-08
07/06/2017;2.74E-06
08/06/2017;4.57E-07
09/06/2017;3.25E-06
12/06/2017;0
13/06/2017;2.26E-08
14/06/2017;3.62E-07
15/06/2017;9.07E-08
16/06/2017;1.45E-06
19/06/2017;8.15E-07
20/06/2017;6.85E-07
21/06/2017;9.05E-08
22/06/2017;1.83E-06
30/06/2017;0
03/07/2017;2.03E-07
04/07/2017;2.09E-05
05/07/2017;7.66E-06
06/07/2017;1.26E-06
07/07/2017;6.08E-06
10/07/2017;6.74E-07
11/07/2017;2.46E-06
12/07/2017;2.02E-06
13/07/2017;3.79E-06
14/07/2017;1.40E-07
17/07/2017;6.51E-06
18/07/2017;5.64E-09
19/07/2017;5.65E-07
20/07/2017;1.44E-06
21/07/2017;5.07E-08
24/07/2017;9.02E-08
25/07/2017;5.64E-09
26/07/2017;1.10E-06
27/07/2017;2.03E-06
28/07/2017;6.82E-07
31/07/2017;5.07E-08
01/08/2017;1.41E-07
02/08/2017;9.52E-07
03/08/2017;5.63E-09
04/08/2017;2.03E-07
07/08/2017;1.41E-07
08/08/2017;0
09/08/2017;1.41E-07
10/08/2017;1.10E-06
11/08/2017;5.74E-06
14/08/2017;3.79E-06
15/08/2017;0
16/08/2017;5.04E-06
18/08/2017;2.01E-07
21/08/2017;9.47E-07
22/08/2017;1.62E-06
23/08/2017;8.99E-08
24/08/2017;8.08E-07
25/08/2017;2.02E-07
28/08/2017;5.62E-07
29/08/2017;5.62E-07
30/08/2017;1.40E-07
31/08/2017;3.59E-07
04/09/2017;2.02E-07
05/09/2017;4.55E-07
06/09/2017;5.63E-09
07/09/2017;2.02E-07
08/09/2017;1.25E-05
11/09/2017;9.67E-05
12/09/2017;5.90E-06
13/09/2017;3.04E-06
14/09/2017;5.15E-06
15/09/2017;2.76E-06
18/09/2017;3.01E-06
19/09/2017;2.28E-06
20/09/2017;8.18E-07
22/09/2017;1.71E-05
25/09/2017;2.26E-06
26/09/2017;1.04E-05
27/09/2017;7.25E-06
28/09/2017;3.55E-05
29/09/2017;4.32E-06
02/10/2017;2.69E-07
03/10/2017;3.76E-05
04/10/2017;4.72E-05
05/10/2017;1.98E-07
06/10/2017;2.20E-08
09/10/2017;1.98E-06
10/10/2017;9.28E-07
11/10/2017;1.78E-06
12/10/2017;7.88E-07
13/10/2017;9.25E-07
16/10/2017;3.43E-06
17/10/2017;2.69E-07
18/10/2017;3.16E-06
19/10/2017;2.68E-07
20/10/2017;8.75E-08
23/10/2017;1.77E-06
24/10/2017;1.97E-07
25/10/2017;9.16E-06
26/10/2017;5.43E-07
27/10/2017;2.65E-05
30/10/2017;1.35E-05
31/10/2017;3.47E-07
01/11/2017;2.17E-06
02/11/2017;4.88E-06
03/11/2017;2.10E-05
06/11/2017;4.60E-06
07/11/2017;3.42E-06
08/11/2017;2.19E-06
09/11/2017;5.47E-07
10/11/2017;0
13/11/2017;9.18E-06
14/11/2017;9.21E-07
15/11/2017;4.91E-08
16/11/2017;5.46E-09
17/11/2017;2.41E-06
20/11/2017;7.87E-07
21/11/2017;1.23E-06
22/11/2017;2.41E-06
23/11/2017;2.19E-06
24/11/2017;4.93E-08
27/11/2017;1.37E-07
28/11/2017;1.40E-06
29/11/2017;7.88E-07
30/11/2017;5.48E-09
04/12/2017;9.24E-07
05/12/2017;7.88E-07
06/12/2017;4.43E-07
07/12/2017;4.28E-06
08/12/2017;8.71E-08
11/12/2017;5.45E-07
12/12/2017;8.72E-08
13/12/2017;8.26E-06
14/12/2017;3.12E-06
15/12/2017;3.48E-07
18/12/2017;6.56E-07
19/12/2017;4.88E-08
20/12/2017;3.47E-07
21/12/2017;6.29E-06
22/12/2017;9.20E-07
27/12/2017;8.70E-08
28/12/2017;2.18E-08
